,user_name,top_track_name,top_track_artist,song_rank
116,lozzol_,DI MI NOMBRE (Cap.8: Éxtasis),ROSALÍA,17
117,lozzol_,Backseat (feat. Carly Rae Jepsen),Charli XCX,18
118,lozzol_,Drugs (feat. ABRA),Charli XCX,19
119,lozzol_,"Damn, dis-moi (feat. Dâm-Funk)",Christine and the Queens,20
120,lozzol_,Two Weeks,FKA twigs,21
121,lozzol_,Tu me regardes,Angèle,22
122,lozzol_,Femmebot (feat. Dorian Electra and Mykki Blanco),Charli XCX,23
123,lozzol_,Silver Cross,Charli XCX,24
124,lozzol_,Dust,Broods,25
125,lozzol_,Des feux pour voir,Marie-Pierre Arthur,26
126,lozzol_,i love you,Billie Eilish,27
127,lozzol_,Your Type,Carly Rae Jepsen,28
128,lozzol_,1999,Charli XCX & Troye Sivan,29
129,lozzol_,Flemme,Angèle,30
130,lozzol_,Kicks,FKA twigs,31
131,lozzol_,Le sexe des étoiles,Klô Pelgag,32
132,lozzol_,Deception Bay,Milk & Bone,33
133,lozzol_,Delicious (feat. Tommy Cash),Charli XCX,34
134,lozzol_,Out of My Head (feat. Tove Lo and ALMA),Charli XCX,35
135,lozzol_,J'aurai les cheveux longs,Klô Pelgag,36
136,lozzol_,All That,Carly Rae Jepsen,37
137,lozzol_,"I Got It (feat. Brooke Candy, CupcakKe and Pabllo Vittar)",Charli XCX,38
138,lozzol_,cellophane,FKA twigs,39
139,lozzol_,I Didn't Just Come Here to Dance,Carly Rae Jepsen,40
140,lozzol_,So Hot You're Hurting My Feelings,Caroline Polachek,41
141,lozzol_,Set Me Free (Feel My Pain),Charli XCX,42
142,lozzol_,Crier Tout Bas,Cœur de Pirate,43
143,lozzol_,Love Again,Dua Lipa,44
144,lozzol_,holy terrain (feat. Future),FKA twigs,45
145,lozzol_,Cherry,Rina Sawayama,46
146,lozzol_,Con Altura (feat. El Guincho),Rosalía & J Balvin,47
147,lozzol_,SLIME,Shygirl,48
148,lozzol_,Caramel (feat. Xela Edna),Soraï,49
149,lozzol_,Pour toi,Ariane Moffatt,50
150,Actualsheep,Man Down,Eden Project,1
151,Actualsheep,Untitled,Eden,2
152,Actualsheep,Times Like These,Eden Project,3
153,Actualsheep,rock + roll,Eden,4
154,Actualsheep,drowning.,Eden Project,5
155,Actualsheep,isohel,Eden,6
156,Actualsheep,Jupiter,Eden Project,7
157,Actualsheep,Chasing Ghosts,Eden Project,8
158,Actualsheep,start//end,Eden,9
159,Actualsheep,Fumes,Eden Project,10
160,Actualsheep,Lost,Eden Project,11
161,Actualsheep,Crazy in Love,Eden Project,12
162,Actualsheep,Soul,Eden Project,13
163,Actualsheep,projector,Eden,14
164,Actualsheep,The Fire,Eden Project,15
165,Actualsheep,909,Eden,16
166,Actualsheep,"love, death, distraction",Eden,17
167,Actualsheep,drugs,Eden,18
168,Actualsheep,woah,Eden Project,19
169,Actualsheep,Blank_Space,Eden Project,20
170,Actualsheep,End Credits,Eden,21
171,Actualsheep,Circles,Eden,22
172,Actualsheep,forever//over,Eden,23
173,Actualsheep,Wake Up,Eden,24
